id,y_true,y_pred,absolute_error
1734767445.860251,81.0,143.49771798721363,62.49771798721363
1734767450.871163,222.0,198.06602002302932,23.933979976970676
1734767455.891119,302.0,150.64745096956335,151.35254903043665
1734767460.927348,140.0,172.146765062155,32.146765062155
1734767465.951357,77.0,78.90917194278398,1.9091719427839848
1734767470.983908,109.0,108.54802746526389,0.45197253473611454
1734767476.006568,75.0,68.07109214879472,6.928907851205281
1734767481.029061,141.0,176.8822723504105,35.88227235041049
1734767486.052981,84.0,92.86437134294496,8.864371342944963
1734767491.17116,185.0,145.42886478164903,39.571135218350975
1734767496.196961,54.0,93.67244614539979,39.67244614539979
1734767501.223894,111.0,106.90170583652417,4.098294163475828
1734767506.254336,160.0,117.99621449150408,42.00378550849592
1734767511.286809,63.0,53.473363022118576,9.526636977881424
1734767516.319161,47.0,100.85985576049747,53.85985576049747
1734767521.354872,53.0,125.21981271821261,72.21981271821261
1734767526.385145,87.0,89.9591025165796,2.9591025165796054
1734767531.417269,97.0,148.00343178174552,51.00343178174552
1734767536.449029,79.0,116.18374385594583,37.183743855945835
1734767541.474646,65.0,99.73762487848882,34.737624878488816
1734767546.502425,85.0,150.84067124684628,65.84067124684628
1734767551.540635,151.0,164.48803383176863,13.488033831768632
1734767556.586151,310.0,258.030719810275,51.969280189725
1734767561.6158,84.0,92.86437134294496,8.864371342944963
1734767566.633477,252.0,153.68650947308407,98.31349052691593
1734767571.644353,252.0,166.8224015018536,85.17759849814641
1734767576.661832,31.0,97.79557804124121,66.79557804124121
1734767581.692154,200.0,151.24730648245347,48.75269351754653
1734767586.718539,150.0,125.22309514887857,24.77690485112143
1734767591.745397,144.0,182.84144086141268,38.84144086141268
1734767596.778391,280.0,235.47175360367686,44.52824639632314
1734767601.817341,220.0,166.5571261240656,53.442873875934396
1734767606.854884,87.0,89.9591025165796,2.9591025165796054
1734767611.88681,179.0,165.3850697733167,13.614930226683299
1734767616.914168,182.0,139.11094848513832,42.88905151486168
1734767621.945437,128.0,72.73110766827678,55.26889233172322
1734767626.975538,148.0,132.175618882606,15.824381117394012
